url,breakpoint,attrID,property,declared,computed,status
https://mosaic.moksaweb.com/moksa/,_,board,backgroundColor,"rgb(22,24,28)","rgb(22, 24, 28)",ok
https://mosaic.moksaweb.com/moksa/,_,board,paddingLeft,40px,40px,ok
https://mosaic.moksaweb.com/moksa/,_,board,paddingRight,40px,40px,ok
https://mosaic.moksaweb.com/moksa/,_,board,fontFamily,"'Noto Sans TC','PingFang TC','Hiragino Sans TC','Microsoft JhengHei',sans-serif","""Noto Sans TC"", ""PingFang TC"", ""Hiragino Sans TC"", ""Microsoft JhengHei"", sans-serif",ok
https://mosaic.moksaweb.com/moksa/,_,contact,backgroundColor,"rgb(250,250,247)","rgb(250, 250, 247)",ok
https://mosaic.moksaweb.com/moksa/,_,contact,paddingLeft,40px,40px,ok
https://mosaic.moksaweb.com/moksa/,_,contact,paddingRight,40px,40px,ok
https://mosaic.moksaweb.com/moksa/,_,contact,fontFamily,"'Noto Sans TC','PingFang TC','Hiragino Sans TC','Microsoft JhengHei',sans-serif","""Noto Sans TC"", ""PingFang TC"", ""Hiragino Sans TC"", ""Microsoft JhengHei"", sans-serif",ok
https://mosaic.moksaweb.com/moksa/,_,figure,backgroundColor,"rgb(250,250,247)","rgb(250, 250, 247)",ok
https://mosaic.moksaweb.com/moksa/,_,figure,paddingLeft,40px,40px,ok
https://mosaic.moksaweb.com/moksa/,_,figure,paddingRight,40px,40px,ok
https://mosaic.moksaweb.com/moksa/,_,figure,fontFamily,"'Noto Sans TC','PingFang TC','Hiragino Sans TC','Microsoft JhengHei',sans-serif","""Noto Sans TC"", ""PingFang TC"", ""Hiragino Sans TC"", ""Microsoft JhengHei"", sans-serif",ok
https://mosaic.moksaweb.com/moksa/,_,matrix,backgroundColor,"rgb(243,243,239)","rgb(243, 243, 239)",ok
https://mosaic.moksaweb.com/moksa/,_,matrix,paddingLeft,40px,40px,ok
https://mosaic.moksaweb.com/moksa/,_,matrix,paddingRight,40px,40px,ok
https://mosaic.moksaweb.com/moksa/,_,matrix,fontFamily,"'Noto Sans TC','PingFang TC','Hiragino Sans TC','Microsoft JhengHei',sans-serif","""Noto Sans TC"", ""PingFang TC"", ""Hiragino Sans TC"", ""Microsoft JhengHei"", sans-serif",ok
https://mosaic.moksaweb.com/moksa/,_,mk-ar-a-0,display,flex,flex,ok
https://mosaic.moksaweb.com/moksa/,_,mk-ar-a-0,justifyContent,center,center,ok
https://mosaic.moksaweb.com/moksa/,_,mk-ar-a-0,alignItems,center,center,ok
https://mosaic.moksaweb.com/moksa/,_,mk-ar-a-1,display,flex,flex,ok
https://mosaic.moksaweb.com/moksa/,_,mk-ar-a-1,justifyContent,center,center,ok
https://mosaic.moksaweb.com/moksa/,_,mk-ar-a-1,alignItems,center,center,ok
