elementor_post,converted,skipped,result,checks,text,images,links
1296,87,0,PASS,5/5,35 of 35 source strings,0 of 0 source images,2 of 2 source link targets
1628,29,1,PASS,5/5,9 of 9 source strings,0 of 0 source images,0 of 0 source link targets
2339,252,1,PASS,5/5,104 of 104 source strings,11 of 11 source images,26 of 26 source link targets
2360,254,0,PASS,5/5,113 of 113 source strings,16 of 16 source images,21 of 21 source link targets
2361,369,1,PASS,5/5,190 of 190 source strings,0 of 0 source images,11 of 11 source link targets
2604,453,2,PASS,5/5,301 of 301 source strings,0 of 0 source images,1 of 1 source link targets
2760,8,4,PASS,5/5,3 of 3 source strings,0 of 0 source images,0 of 0 source link targets
3257,135,0,PASS,5/5,58 of 58 source strings,0 of 0 source images,2 of 2 source link targets
3455,92,1,PASS,5/5,32 of 32 source strings,0 of 0 source images,2 of 2 source link targets
9131,156,0,PASS,5/5,72 of 72 source strings,0 of 0 source images,4 of 4 source link targets
9135,154,0,PASS,5/5,66 of 66 source strings,0 of 0 source images,4 of 4 source link targets
9139,184,1,PASS,5/5,85 of 85 source strings,0 of 0 source images,2 of 2 source link targets
9145,150,0,PASS,5/5,64 of 64 source strings,0 of 0 source images,5 of 5 source link targets
9146,155,0,PASS,5/5,65 of 65 source strings,0 of 0 source images,5 of 5 source link targets
9147,152,0,PASS,5/5,61 of 61 source strings,0 of 0 source images,4 of 4 source link targets
9148,154,0,PASS,5/5,61 of 61 source strings,0 of 0 source images,4 of 4 source link targets
9149,154,0,PASS,5/5,65 of 65 source strings,0 of 0 source images,4 of 4 source link targets
9151,147,0,PASS,5/5,61 of 61 source strings,0 of 0 source images,6 of 6 source link targets
9152,196,0,PASS,5/5,112 of 112 source strings,0 of 0 source images,4 of 4 source link targets
