provider,field,expression,expected,rendered,result
ACF,text,@VAR('post/meta_acf_text'),ACF plain text,ACF plain text,PASS
ACF,"textarea (newline kept, no <br>)",@VAR('post/meta_acf_area'),line one\nline two,line one\nline two,PASS
ACF,number,@VAR('post/meta_acf_num'),42,42,PASS
ACF,true_false,@VAR('post/meta_acf_bool'),1,1,PASS
ACF,url,@VAR('post/meta_acf_url'),https://example.com/acf,https://example.com/acf,PASS
ACF,email,@VAR('post/meta_acf_email'),acf@example.com,acf@example.com,PASS
ACF,color_picker,@VAR('post/meta_acf_color'),#ff5a36,#ff5a36,PASS
ACF,date_picker (return Y-m-d),@VAR('post/meta_acf_date'),2026-09-15,2026-09-15,PASS
ACF,wysiwyg,@VAR_RAW('post/meta_acf_wys'),Rich text,Rich text,PASS
ACF,select (return value),@VAR('post/meta_acf_select'),b,b,PASS
ACF,select (return value) __label,@VAR('post/meta_acf_select__label'),,,EMPTY
ACF,radio,@VAR('post/meta_acf_radio'),r2,r2,PASS
ACF,image (return array),@VAR('post/meta_acf_img'),https://mosaic.moksaweb.com/wp-content/uploads/woocommerce-placeholder.webp,https://mosaic.moksaweb.com/wp-content/uploads/woocommerce-placeholder.webp,PASS
ACF,image (return array) __id,@VAR('post/meta_acf_img__id'),5,5,PASS
ACF,image (return id),@VAR('post/meta_acf_img_id'),https://mosaic.moksaweb.com/wp-content/uploads/2026/09/richmenu-a.png,https://mosaic.moksaweb.com/wp-content/uploads/2026/09/richmenu-a.png,PASS
ACF,image (return id) __id,@VAR('post/meta_acf_img_id__id'),37,37,PASS
ACF,file (return url),@VAR('post/meta_acf_file'),https://mosaic.moksaweb.com/wp-content/uploads/woocommerce-placeholder.webp,https://mosaic.moksaweb.com/wp-content/uploads/woocommerce-placeholder.webp,PASS
ACF,link (return array),@VAR('post/meta_acf_link'),https://example.com/link,https://example.com/link,PASS
ACF,link __title,@VAR('post/meta_acf_link__title'),Link title,Link title,PASS
ACF,link __target,@VAR('post/meta_acf_link__target'),_blank,_blank,PASS
ACF,page_link,@VAR('post/meta_acf_pl'),https://mosaic.moksaweb.com/sample-page/,https://mosaic.moksaweb.com/sample-page/,PASS
ACF,post_object,@VAR('post/meta_acf_po'),6,6,PASS
ACF,post_object __label,@VAR('post/meta_acf_po__label'),Shop,Shop,PASS
ACF,post_object __url,@VAR('post/meta_acf_po__url'),https://mosaic.moksaweb.com/shop/,https://mosaic.moksaweb.com/shop/,PASS
ACF,user,@VAR('post/meta_acf_user'),1,1,PASS
ACF,user __label,@VAR('post/meta_acf_user__label'),Cheng-Chun Chang,Cheng-Chun Chang,PASS
