table,column,type
wp_mosaic_breakpoints,themeID,varchar(36)
wp_mosaic_breakpoints,ID,varchar(36)
wp_mosaic_breakpoints,ordering,varchar(400)
wp_mosaic_breakpoints,status,varchar(36)
wp_mosaic_breakpoints,data,longtext
wp_mosaic_breakpoints,revision,varchar(36)
wp_mosaic_breakpoints,version,varchar(128)
wp_mosaic_collection_groups,themeID,varchar(36)
wp_mosaic_collection_groups,ID,varchar(36)
wp_mosaic_collection_groups,parentType,varchar(36)
wp_mosaic_collection_groups,parentID,varchar(36)
wp_mosaic_collection_groups,ordering,varchar(400)
wp_mosaic_collection_groups,status,varchar(36)
wp_mosaic_collection_groups,data,longtext
wp_mosaic_collection_groups,revision,varchar(36)
wp_mosaic_collection_groups,version,varchar(128)
wp_mosaic_collection_modes,themeID,varchar(36)
wp_mosaic_collection_modes,ID,varchar(36)
wp_mosaic_collection_modes,parentType,varchar(36)
wp_mosaic_collection_modes,parentID,varchar(36)
wp_mosaic_collection_modes,ordering,varchar(400)
wp_mosaic_collection_modes,status,varchar(36)
wp_mosaic_collection_modes,data,longtext
wp_mosaic_collection_modes,revision,varchar(36)
wp_mosaic_collection_modes,version,varchar(128)
wp_mosaic_collection_skins,themeID,varchar(36)
wp_mosaic_collection_skins,ID,varchar(36)
wp_mosaic_collection_skins,parentType,varchar(36)
wp_mosaic_collection_skins,parentID,varchar(36)
wp_mosaic_collection_skins,ordering,varchar(400)
wp_mosaic_collection_skins,status,varchar(36)
wp_mosaic_collection_skins,data,longtext
wp_mosaic_collection_skins,revision,varchar(36)
wp_mosaic_collection_skins,version,varchar(128)
wp_mosaic_collection_variables,themeID,varchar(36)
wp_mosaic_collection_variables,ID,varchar(36)
wp_mosaic_collection_variables,parentType,varchar(36)
wp_mosaic_collection_variables,parentID,varchar(36)
wp_mosaic_collection_variables,ordering,varchar(400)
wp_mosaic_collection_variables,status,varchar(36)
wp_mosaic_collection_variables,data,longtext
wp_mosaic_collection_variables,revision,varchar(36)
wp_mosaic_collection_variables,version,varchar(128)
wp_mosaic_collections,themeID,varchar(36)
wp_mosaic_collections,ID,varchar(36)
wp_mosaic_collections,parentType,varchar(36)
wp_mosaic_collections,parentID,varchar(36)
wp_mosaic_collections,ordering,varchar(400)
wp_mosaic_collections,status,varchar(36)
wp_mosaic_collections,data,longtext
wp_mosaic_collections,revision,varchar(36)
wp_mosaic_collections,version,varchar(128)
wp_mosaic_component_categories,themeID,varchar(36)
wp_mosaic_component_categories,ID,varchar(36)
wp_mosaic_component_categories,parentType,varchar(36)
wp_mosaic_component_categories,parentID,varchar(36)
wp_mosaic_component_categories,ordering,varchar(400)
wp_mosaic_component_categories,status,varchar(36)
wp_mosaic_component_categories,data,longtext
wp_mosaic_component_categories,revision,varchar(36)
wp_mosaic_component_categories,version,varchar(128)
wp_mosaic_component_documents,themeID,varchar(36)
wp_mosaic_component_documents,ID,varchar(36)
wp_mosaic_component_documents,parentType,varchar(36)
wp_mosaic_component_documents,parentID,varchar(36)
wp_mosaic_component_documents,ordering,varchar(400)
wp_mosaic_component_documents,status,varchar(36)
wp_mosaic_component_documents,revision,varchar(36)
wp_mosaic_component_documents,version,varchar(128)
wp_mosaic_components,themeID,varchar(36)
wp_mosaic_components,ID,varchar(36)
wp_mosaic_components,parentType,varchar(36)
wp_mosaic_components,parentID,varchar(36)
wp_mosaic_components,ordering,varchar(400)
wp_mosaic_components,status,varchar(36)
wp_mosaic_components,revision,varchar(36)
wp_mosaic_components,version,varchar(128)
wp_mosaic_components,name,varchar(191)
wp_mosaic_components,path,varchar(191)
wp_mosaic_element_classes,themeID,varchar(36)
wp_mosaic_element_classes,ID,varchar(36)
wp_mosaic_element_classes,status,varchar(36)
wp_mosaic_element_classes,data,longtext
wp_mosaic_element_classes,revision,varchar(36)
wp_mosaic_element_classes,version,varchar(128)
wp_mosaic_locks,ID,char(64)
wp_mosaic_locks,group,varchar(191)
wp_mosaic_locks,data,longtext
wp_mosaic_locks,expiration,int(11)
wp_mosaic_masters,themeID,varchar(36)
wp_mosaic_masters,ID,varchar(36)
wp_mosaic_masters,ordering,varchar(400)
wp_mosaic_masters,status,varchar(36)
wp_mosaic_masters,revision,varchar(36)
wp_mosaic_masters,version,varchar(128)
wp_mosaic_masters,name,varchar(191)
wp_mosaic_masters,modified_gmt,datetime
wp_mosaic_nodes,themeID,varchar(36)
wp_mosaic_nodes,documentType,varchar(36)
wp_mosaic_nodes,documentID,varchar(36)
wp_mosaic_nodes,ID,varchar(36)
wp_mosaic_nodes,parentType,varchar(36)
wp_mosaic_nodes,parentID,varchar(36)
wp_mosaic_nodes,ordering,varchar(400)
wp_mosaic_nodes,status,varchar(36)
wp_mosaic_nodes,type,varchar(128)
wp_mosaic_nodes,data,longtext
wp_mosaic_nodes,revision,varchar(36)
wp_mosaic_nodes,version,varchar(128)
wp_mosaic_settings,ID,varchar(36)
wp_mosaic_settings,status,varchar(36)
wp_mosaic_settings,revision,varchar(36)
wp_mosaic_settings,version,varchar(128)
wp_mosaic_settings,data,longtext
wp_mosaic_settings,modified_gmt,datetime
wp_mosaic_styleguides,themeID,varchar(36)
wp_mosaic_styleguides,ID,varchar(36)
wp_mosaic_styleguides,ordering,varchar(400)
wp_mosaic_styleguides,status,varchar(36)
wp_mosaic_styleguides,revision,varchar(36)
wp_mosaic_styleguides,version,varchar(128)
wp_mosaic_styleguides,name,varchar(191)
wp_mosaic_styleguides,modified_gmt,datetime
wp_mosaic_sub_classes,themeID,varchar(36)
wp_mosaic_sub_classes,ID,varchar(36)
wp_mosaic_sub_classes,parentType,varchar(36)
wp_mosaic_sub_classes,parentID,varchar(36)
wp_mosaic_sub_classes,ordering,varchar(400)
wp_mosaic_sub_classes,status,varchar(36)
wp_mosaic_sub_classes,data,longtext
wp_mosaic_sub_classes,revision,varchar(36)
wp_mosaic_sub_classes,version,varchar(128)
wp_mosaic_submission_actions,ID,bigint(20)
wp_mosaic_submission_actions,submissionID,bigint(20)
wp_mosaic_submission_actions,actionKey,varchar(36)
wp_mosaic_submission_actions,type,varchar(128)
wp_mosaic_submission_actions,configJSON,longtext
wp_mosaic_submission_actions,submissionActionStatus,varchar(36)
wp_mosaic_submission_actions,attempts,int(10)
wp_mosaic_submission_actions,lastError,longtext
wp_mosaic_submission_actions,lastAttemptAt,datetime
wp_mosaic_submission_actions,createdAt,datetime
wp_mosaic_submission_actions,updatedAt,datetime
wp_mosaic_submissions,ID,bigint(20)
wp_mosaic_submissions,userID,bigint(20)
wp_mosaic_submissions,themeID,varchar(36)
wp_mosaic_submissions,masterID,varchar(36)
wp_mosaic_submissions,templateID,varchar(36)
wp_mosaic_submissions,formID,varchar(36)
wp_mosaic_submissions,formName,varchar(191)
wp_mosaic_submissions,entryLabel,varchar(191)
