owner_class,extends,edition,creator,property,validators,accepted_values,supports_inherit,is_responsive,reserved_attributes,file
AccordionElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,openMode,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,single|multiple|alwaysOpen,true,,data-animation|data-open-mode|data-first-opened|data-require-one-open,Mosaic/NodeTypes/Accordion/AccordionElementMResourceData.php
AccordionElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,firstOpened,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-animation|data-open-mode|data-first-opened|data-require-one-open,Mosaic/NodeTypes/Accordion/AccordionElementMResourceData.php
AccordionElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,requireOneOpen,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-animation|data-open-mode|data-first-opened|data-require-one-open,Mosaic/NodeTypes/Accordion/AccordionElementMResourceData.php
AccordionElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,animation,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,none|slide,true,,data-animation|data-open-mode|data-first-opened|data-require-one-open,Mosaic/NodeTypes/Accordion/AccordionElementMResourceData.php
AccordionItemElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,openedByDefault,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,0|1,true,,data-opened-by-default,Mosaic/NodeTypes/Accordion/AccordionItem/AccordionItemElementMResourceData.php
AccordionItemElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,mode,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,item|beforeMatch|afterMatch|separator,true,,data-opened-by-default,Mosaic/NodeTypes/Accordion/AccordionItem/AccordionItemElementMResourceData.php
ButtonElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,url,ValidateAllowUndefined|ValidatorDynamicCodeObject|ValidatorSanitizeEmptyString|ValidatorURL|ValidatorURLObject|Validators,,true,,href|target|rel,Mosaic/NodeTypes/Button/ButtonElementMResourceData.php
ButtonElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,target,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,_self|_blank|_parent|_top,true,,href|target|rel,Mosaic/NodeTypes/Button/ButtonElementMResourceData.php
ButtonElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,rel,ValidateAllowUndefined|ValidatorArray|ValidatorString|Validators,,true,,href|target|rel,Mosaic/NodeTypes/Button/ButtonElementMResourceData.php
DivElementMResourceData,ElementMResourceDataAbstract,free,createDataSimple,tagName,ValidateAllowUndefined|ValidatorTagName|Validators,,true,,,Mosaic/NodeTypes/Div/DivElementMResourceData.php
DivElementMResourceData,ElementMResourceDataAbstract,free,createDataArray,dynamicSources,,,true,,,Mosaic/NodeTypes/Div/DivElementMResourceData.php
ElementMResourceDataAbstract,NodeMResourceDataAbstract,free,createDataSimple,name,ValidateAllowUndefined|ValidatorName|ValidatorSanitizeEmptyString|Validators,,true,,,Mosaic/NodeTypes/ElementAbstract/ElementMResourceDataAbstract.php
ElementMResourceDataAbstract,NodeMResourceDataAbstract,free,createDataSimple,locked,ValidateAllowUndefined|ValidatorBoolean|Validators,,true,,,Mosaic/NodeTypes/ElementAbstract/ElementMResourceDataAbstract.php
ElementMResourceDataAbstract,NodeMResourceDataAbstract,free,createDataSimple,hidden,ValidateAllowUndefined|ValidatorAcceptedValues|Validators,,true,,,Mosaic/NodeTypes/ElementAbstract/ElementMResourceDataAbstract.php
ElementMResourceDataAbstract,NodeMResourceDataAbstract,free,createDataArray,conditions,,,true,,,Mosaic/NodeTypes/ElementAbstract/ElementMResourceDataAbstract.php
ElementMResourceDataAbstract,NodeMResourceDataAbstract,free,createDataSimple,attributes,ValidateAllowUndefined|ValidatorArray|ValidatorAttributes|ValidatorAttributesRecord|Validators,,true,,,Mosaic/NodeTypes/ElementAbstract/ElementMResourceDataAbstract.php
ElementMResourceDataAbstract,NodeMResourceDataAbstract,free,createDataSimple,cssClasses,ValidateAllowUndefined|ValidatorArray|ValidatorCSSClassesRecord|ValidatorClassName|Validators,,true,,,Mosaic/NodeTypes/ElementAbstract/ElementMResourceDataAbstract.php
ElementMResourceDataAbstract,NodeMResourceDataAbstract,free,createDataSimple,attrID,ValidateAllowUndefined|ValidatorAttribute|Validators,,true,,,Mosaic/NodeTypes/ElementAbstract/ElementMResourceDataAbstract.php
ElementMResourceDataAbstract,NodeMResourceDataAbstract,free,createDataGroup,style,,,true,,,Mosaic/NodeTypes/ElementAbstract/ElementMResourceDataAbstract.php
