property,probed_on,sent,status,evidence
accept,,,SKIPPED,
action,,,NO_HOST,
alt,,,NO_HOST,
alt,,,NO_HOST,
animation,,,NO_HOST,
animation,,,NO_HOST,
animation,,,NO_HOST,
animation,navbar,"""flipDown""",APPLIED,"<mosaic-navbar id=""np-054"" class=""M_EL37 M_EL_Navbar"" data-toggle-breakpoint-id=""_m"" data-animation=""flipDown"""
appearance,,,NO_HOST,
ariaLabel,,,NO_HOST,
attrID,,,INSTRUMENT,this sweep locates and reads nodes THROUGH it; asserted instead by style-verification.csv (98 rows); rwd-verification.csv (576 rows)
attributes,div,"[{""name"": ""data-mprobe37"", ""value"": ""yes""}]",NO_EFFECT,"<div id=""np-015"" class=""M_EL24 M_EL_Div"">"
autoScale,icon,371337,NO_EFFECT,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" id=""np-026"" class=""M_EL26 M_EL_Icon"">"
autocomplete,,,SKIPPED,
autocomplete,,,SKIPPED,
autoplay,video,"""1""",APPLIED,"<video id=""np-143"" class=""M_EL85 M_EL_Video"" data-autoplay=""1"" muted=""1"" controls=""1"" playsinline=""1"" preload="
autoplay,vimeo,"""1""",APPLIED,"<mosaic-vimeo id=""np-154"" class=""M_EL94 M_EL_Vimeo"" data-autoplay=""1"" data-mute=""1"" data-playsinline=""1"">"
autoplay,youtube,"""1""",APPLIED,"<mosaic-youtube id=""np-172"" class=""M_EL104 M_EL_YouTube"" data-autoplay=""1"" data-mute=""1"" data-playsinline=""1"">"
autoplayDelay,,,NO_HOST,
autoplayLimit,,,NO_HOST,
buttonBreakpoint,navbar,"""none""",APPLIED,"<mosaic-navbar id=""np-053"" class=""M_EL36 M_EL_Navbar"" data-toggle-breakpoint-id=""none"" data-animation=""fade"">"
checked,,,NO_HOST,
checked,,,NO_HOST,
colors,,,SKIPPED,
conditions,,,SKIPPED,
content,,,SKIPPED,
content,code,"""mprobe37""",NO_EFFECT,"<div id=""np-059"" class=""M_EL40 M_EL_Code"">"
