type,label,class,extends,abstract,edition,alias_types,is_link,can_be_parent,default_element_class,data_class,data_extends,file
accordion,Accordion,AccordionElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,AccordionElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Accordion/AccordionElementTypeFactory.php
accordion-content,Accordion Content,AccordionContentElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,AccordionContentElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Accordion/AccordionItem/AccordionContent/AccordionContentElementTypeFactory.php
accordion-item,Item,AccordionItemElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,AccordionItemElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Accordion/AccordionItem/AccordionItemElementTypeFactory.php
accordion-title,Accordion title,AccordionTitleElementTypeFactory,ElementTypeFactoryAbstract,no,free,,true,true,,AccordionTitleElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Accordion/AccordionItem/AccordionTitle/AccordionTitleElementTypeFactory.php
accordion-loop-items,Loop items,AccordionLoopItemsElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,AccordionLoopItemsElementMResourceData,ElementMResourceLoopDataAbstract,Mosaic/NodeTypes/Accordion/AccordionLoopItems/AccordionLoopItemsElementTypeFactory.php
button,Button,ButtonElementTypeFactory,ElementTypeFactoryAbstract,no,free,button-advanced,true,true,ButtonElementVariationsConst::ButtonElementClassID,ButtonElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Button/ButtonElementTypeFactory.php
component-instance,Instance,ComponentInstanceElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,ComponentInstanceElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Component/ComponentInstance/ComponentInstanceElementTypeFactory.php
component-external,Component external,ComponentExternalElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,ComponentExternalElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Component/Component/ComponentExternal/ComponentExternalElementTypeFactory.php
component-internal,Component,ComponentInternalElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,ComponentInternalElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Component/Component/ComponentInternal/ComponentInternalElementTypeFactory.php
div,,DivElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,DivElementVariationsConst::DivElementClassID,DivElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Div/DivElementTypeFactory.php
body,,BodyElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,BodyElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Document/Body/BodyElementTypeFactory.php
document,Document,DocumentElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,DocumentElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Document/DocumentElementTypeFactory.php
googlemaps,Google Maps,GoogleMapsElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,GoogleMapsElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/GoogleMaps/GoogleMapsElementTypeFactory.php
