type,rule,allowed_children,nested_rule,declared_in
__unknown,none,,,Mosaic/NodeTypes/Unknown/UnknownElementTypeFactory.php
accordion,allow,accordion-item|accordion-loop-items,yes,Mosaic/NodeTypes/Accordion/AccordionElementTypeFactory.php
accordion-content,any,,,Mosaic/NodeTypes/Accordion/AccordionItem/AccordionContent/AccordionContentElementTypeFactory.php
accordion-item,allow,accordion-item|accordion-loop-items,yes,Mosaic/NodeTypes/Accordion/AccordionItem/AccordionItemElementTypeFactory.php
accordion-loop-items,allow,accordion,yes,Mosaic/NodeTypes/Accordion/AccordionLoopItems/AccordionLoopItemsElementTypeFactory.php
accordion-title,any,,,Mosaic/NodeTypes/Accordion/AccordionItem/AccordionTitle/AccordionTitleElementTypeFactory.php
body,any,,,Mosaic/NodeTypes/Document/Body/BodyElementTypeFactory.php
button,any,,,Mosaic/NodeTypes/Button/ButtonElementTypeFactory.php
checkbox-input,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Checkbox/CheckboxInput/CheckboxInputElementTypeFactory.php
choice,any,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Choice/ChoiceElementTypeFactory.php
choice-content,any,,,Mosaic/NodeTypes/Pro/Form/Form/MElements/ChoiceField/Content/ChoiceContentElementTypeFactory.php
choice-field,allow,choice-content|choice-legend,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/ChoiceField/ChoiceFieldElementTypeFactory.php
choice-label,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Choice/ChoiceLabel/ChoiceLabelElementTypeFactory.php
choice-legend,none,,,Mosaic/NodeTypes/Pro/Form/Form/MElements/ChoiceField/Legend/ChoiceLegendElementTypeFactory.php
code,none,,,Mosaic/NodeTypes/Pro/Code/CodeElementTypeFactory.php
component-external,none,,,Mosaic/NodeTypes/Component/Component/ComponentExternal/ComponentExternalElementTypeFactory.php
component-instance,any,,,Mosaic/NodeTypes/Component/ComponentInstance/ComponentInstanceElementTypeFactory.php
component-internal,any,,,Mosaic/NodeTypes/Component/Component/ComponentInternal/ComponentInternalElementTypeFactory.php
component-root,none,,,Mosaic/NodeTypes/Root/Component/ComponentRootElementTypeFactory.php
div,any,,,Mosaic/NodeTypes/Div/DivElementTypeFactory.php
document,none,,,Mosaic/NodeTypes/Document/DocumentElementTypeFactory.php
dropdown,none,,,Mosaic/NodeTypes/Menu/Dropdown/Dropdown/DropdownElementTypeFactory.php
dropdown-toggle,any,,,Mosaic/NodeTypes/Menu/Dropdown/DropdownToggle/DropdownToggleElementTypeFactory.php
dropdown-wide,none,,,Mosaic/NodeTypes/Menu/Dropdown/DropdownWide/DropdownWideElementTypeFactory.php
dropdown-wrapper,none,,,Mosaic/NodeTypes/Menu/Dropdown/Dropdown/DropdownWrapper/DropdownWrapperElementTypeFactory.php
dropdown-wrapper-wide,none,,,Mosaic/NodeTypes/Menu/Dropdown/DropdownWide/DropdownWrapperWide/DropdownWrapperWideElementTypeFactory.php
field,any,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Field/FieldElementTypeFactory.php
fieldset,complex,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/FieldSet/FieldSetElementTypeFactory.php
fileupload-input,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/FileUpload/FileUploadElementTypeFactory.php
form,any,,,Mosaic/NodeTypes/Pro/Form/Form/FormElementTypeFactory.php
form-error,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/FormError/FormErrorElementTypeFactory.php
form-multi-steps,allow,form-multi-steps-steps|multi-steps-forms,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/MultiSteps/MultiStepsElementTypeFactory.php
form-multi-steps-step,any,,,Mosaic/NodeTypes/Pro/Form/Form/MElements/MultiSteps/Steps/Step/StepElementTypeFactory.php
form-multi-steps-steps,allow,form-multi-steps-step,,Mosaic/NodeTypes/Pro/Form/Form/MElements/MultiSteps/Steps/StepsElementTypeFactory.php
form-wrapper,allow,form|success-screen,yes,Mosaic/NodeTypes/Pro/Form/FormWrapperElementTypeFactory.php
googlemaps,none,,,Mosaic/NodeTypes/GoogleMaps/GoogleMapsElementTypeFactory.php
hidden-input,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/HiddenInput/HiddenInputElementTypeFactory.php
icon,none,,,Mosaic/NodeTypes/Icon/IconElementTypeFactory.php
image,none,,,Mosaic/NodeTypes/Image/ImageElementTypeFactory.php
label,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Label/LabelElementTypeFactory.php
list,allow,list-item|list-loop-items,,Mosaic/NodeTypes/ListElement/ListElementTypeFactory.php
list-item,any,,yes,Mosaic/NodeTypes/ListElement/ListItem/ListItemElementTypeFactory.php
list-loop-items,allow,list-item,yes,Mosaic/NodeTypes/ListElement/ListLoopItems/ListLoopItemsElementTypeFactory.php
loop,allow,loop-pagination,,Mosaic/NodeTypes/Loop/LoopElementTypeFactory.php
loop-item,any,,yes,Mosaic/NodeTypes/Loop/LoopItems/LoopItem/LoopItemElementTypeFactory.php
loop-items,allow,loop-item,yes,Mosaic/NodeTypes/Loop/LoopItems/LoopItemsElementTypeFactory.php
loop-no-result,any,,,Mosaic/NodeTypes/Loop/LoopNoResult/LoopNoResultElementTypeFactory.php
loop-pagination,any,,yes,Mosaic/NodeTypes/Loop/LoopPagination/LoopPaginationElementTypeFactory.php
loop-pagination-button-next,any,,yes,Mosaic/NodeTypes/Loop/LoopPagination/Button/ButtonNext/LoopPaginationButtonNextElementTypeFactory.php
loop-pagination-button-previous,any,,yes,Mosaic/NodeTypes/Loop/LoopPagination/Button/ButtonPrevious/LoopPaginationButtonPreviousElementTypeFactory.php
loop-pagination-number,none,,,Mosaic/NodeTypes/Loop/LoopPagination/Numbers/Number/LoopPaginationNumberElementTypeFactory.php
loop-pagination-numbers,allow,loop-pagination-number,yes,Mosaic/NodeTypes/Loop/LoopPagination/Numbers/LoopPaginationNumbersElementTypeFactory.php
master-root,none,,,Mosaic/NodeTypes/Root/Master/MasterRootElementTypeFactory.php
menu,any,,,Mosaic/NodeTypes/Menu/MenuElementTypeFactory.php
menu-link,any,,,Mosaic/NodeTypes/Menu/MenuLink/MenuLinkElementTypeFactory.php
multi-steps-back-button,any,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/MultiSteps/Forms/FormStep/Button/ButtonStepBack/FormStepButtonBackElementTypeFactory.php
multi-steps-form-step,any,,,Mosaic/NodeTypes/Pro/Form/Form/MElements/MultiSteps/Forms/FormStep/FormStepElementTypeFactory.php
multi-steps-forms,allow,form-multi-steps,,Mosaic/NodeTypes/Pro/Form/Form/MElements/MultiSteps/Forms/FormsElementTypeFactory.php
multi-steps-next-button,any,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/MultiSteps/Forms/FormStep/Button/ButtonStepNext/FormStepButtonNextElementTypeFactory.php
navbar,none,,yes,Mosaic/NodeTypes/Navbar/NavbarElementTypeFactory.php
navbar-toggle,any,,yes,Mosaic/NodeTypes/Navbar/NavbarToggle/NavbarToggleElementTypeFactory.php
navigation,any,,yes,Mosaic/NodeTypes/Navbar/Navigation/NavigationElementTypeFactory.php
radio-input,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Radio/RadioInput/RadioInputElementTypeFactory.php
