registry,id,label,namespace,file
DynamicSources,configurablePostType,,,Mosaic/Plugins/DynamicSources/DynamicSourcePostTypes.php
DynamicSources,configurableTaxonomy,,,Mosaic/Plugins/DynamicSources/DynamicSourceTaxonomies.php
DynamicSources,wpUser,,,Mosaic/Plugins/DynamicSources/DynamicSourceUsers.php
DynamicSources,configurableUser,,,Mosaic/Plugins/DynamicSources/DynamicSourceUsers.php
DynamicSources,wpMenuNavMenu,,,Mosaic/Plugins/DynamicSources/DynamicSourceWPMenu.php
DynamicSources,configurableMenu,,,Mosaic/Plugins/DynamicSources/DynamicSourceWPMenu.php
DynamicSources,configurableACFOptionsPage,,,Mosaic/Plugins/DynamicSources/Integrations/ACF/DynamicSourceACFOptionsPages.php
DynamicSources,configurableMetaBoxSettingsPage,,,Mosaic/Plugins/DynamicSources/Integrations/MetaBox/DynamicSourceMetaBoxSettingsPages.php
Endpoints,mailchimp_audiences,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/Mailchimp.php
Endpoints,mailchimp_fields,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/Mailchimp.php
Endpoints,mailchimp_interest_categories,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/Mailchimp.php
Endpoints,mailchimp_interests,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/Mailchimp.php
Endpoints,mailchimp_tags,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/Mailchimp.php
Endpoints,mailerlite_groups,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/MailerLite.php
Endpoints,mailerlite_fields,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/MailerLite.php
Endpoints,post_variable,,,Mosaic/Plugins/Endpoints/PostVariable.php
Endpoints,user_fields,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/UserFields.php
Endpoints,users_meta,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/UserMeta.php
Endpoints,user_variable,,,Mosaic/Plugins/Endpoints/UserVariable.php
Endpoints,users_list,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/Users.php
Endpoints,wp_menus,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/WPMenus.php
Endpoints,wp_menus_meta,,Mosaic\Plugins\Endpoints,Mosaic/Plugins/Endpoints/WPMenus.php
EvaluatorEngine,breakpoint,,Mosaic\Plugins\EvaluatorEngine\BrowserConditions\Subjects,Mosaic/Plugins/EvaluatorEngine/BrowserConditions/Subjects/BrowserConditionSubjectBreakpoint.php
EvaluatorEngine,httpCookie,,Mosaic\Plugins\EvaluatorEngine\BrowserConditions\Subjects,Mosaic/Plugins/EvaluatorEngine/BrowserConditions/Subjects/BrowserConditionSubjectHttpCookie.php
EvaluatorEngine,localStorage,,Mosaic\Plugins\EvaluatorEngine\BrowserConditions\Subjects,Mosaic/Plugins/EvaluatorEngine/BrowserConditions/Subjects/BrowserConditionSubjectLocalStorage.php
EvaluatorEngine,reducedMotion,,Mosaic\Plugins\EvaluatorEngine\BrowserConditions\Subjects,Mosaic/Plugins/EvaluatorEngine/BrowserConditions/Subjects/BrowserConditionSubjectReducedMotion.php
EvaluatorEngine,text,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,equals,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,not-equals,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,contains,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,not-contains,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,starts-with,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,regexp,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,number,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,date,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,after,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,before,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectPostTypes.php
EvaluatorEngine,includes,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,excludes,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,text,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,equals,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,not-equals,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,contains,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,not-contains,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,starts-with,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,regexp,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,number,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,greater-than,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,greater-than-or-equal,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,less-than,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,less-than-or-equal,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectTaxonomies.php
EvaluatorEngine,wpUsersUser,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectUsers.php
EvaluatorEngine,includes,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectUsers.php
EvaluatorEngine,excludes,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectUsers.php
EvaluatorEngine,wpUsersUserVariable,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectUsers.php
EvaluatorEngine,text,,Mosaic\Plugins\EvaluatorEngine\Filters\Subject,Mosaic/Plugins/EvaluatorEngine/Filters/Subject/FilterSubjectUsers.php
