type,property,owner_class,creator,probe_value,is_enum,outcome,detail
text,name,ElementMResourceDataAbstract,createDataSimple,MPROP0000X,,NO_EFFECT,
text,locked,ElementMResourceDataAbstract,createDataSimple,MPROP0001X,,NO_EFFECT,
text,hidden,ElementMResourceDataAbstract,createDataSimple,MPROP0002X,,NO_EFFECT,
text,conditions,ElementMResourceDataAbstract,createDataArray,MPROP0003X,,COMMIT_500,PHP fatal during commit
text,attributes,ElementMResourceDataAbstract,createDataSimple,MPROP0004X,,NO_EFFECT,
text,cssClasses,ElementMResourceDataAbstract,createDataSimple,MPROP0005X,,NO_EFFECT,
text,attrID,ElementMResourceDataAbstract,createDataSimple,MPROP0006X,,HTML,
text,style,ElementMResourceDataAbstract,createDataGroup,MPROP0007X,,NO_EFFECT,
text,interactions,ElementMResourceDataAbstract,createDataArray,MPROP0008X,,COMMIT_500,PHP fatal during commit
text,currentStatus,NodeMResourceDataAbstract,createDataSimple,MPROP0009X,,NO_EFFECT,
text,override,NodeMResourceDataAbstract,createDataGroup,MPROP0010X,,NO_EFFECT,
button,name,ElementMResourceDataAbstract,createDataSimple,MPROP0011X,,NO_EFFECT,
button,locked,ElementMResourceDataAbstract,createDataSimple,MPROP0012X,,NO_EFFECT,
button,hidden,ElementMResourceDataAbstract,createDataSimple,MPROP0013X,,NO_EFFECT,
button,conditions,ElementMResourceDataAbstract,createDataArray,MPROP0014X,,COMMIT_500,PHP fatal during commit
button,attributes,ElementMResourceDataAbstract,createDataSimple,MPROP0015X,,NO_EFFECT,
button,cssClasses,ElementMResourceDataAbstract,createDataSimple,MPROP0016X,,NO_EFFECT,
button,attrID,ElementMResourceDataAbstract,createDataSimple,MPROP0017X,,HTML,
button,style,ElementMResourceDataAbstract,createDataGroup,MPROP0018X,,NO_EFFECT,
button,interactions,ElementMResourceDataAbstract,createDataArray,MPROP0019X,,COMMIT_500,PHP fatal during commit
button,currentStatus,NodeMResourceDataAbstract,createDataSimple,MPROP0020X,,NO_EFFECT,
button,override,NodeMResourceDataAbstract,createDataGroup,MPROP0021X,,NO_EFFECT,
div,name,ElementMResourceDataAbstract,createDataSimple,MPROP0022X,,NO_EFFECT,
div,locked,ElementMResourceDataAbstract,createDataSimple,MPROP0023X,,NO_EFFECT,
div,hidden,ElementMResourceDataAbstract,createDataSimple,MPROP0024X,,NO_EFFECT,
div,conditions,ElementMResourceDataAbstract,createDataArray,MPROP0025X,,COMMIT_500,PHP fatal during commit
div,attributes,ElementMResourceDataAbstract,createDataSimple,MPROP0026X,,NO_EFFECT,
div,cssClasses,ElementMResourceDataAbstract,createDataSimple,MPROP0027X,,NO_EFFECT,
div,attrID,ElementMResourceDataAbstract,createDataSimple,MPROP0028X,,HTML,
div,style,ElementMResourceDataAbstract,createDataGroup,MPROP0029X,,NO_EFFECT,
div,interactions,ElementMResourceDataAbstract,createDataArray,MPROP0030X,,COMMIT_500,PHP fatal during commit
div,currentStatus,NodeMResourceDataAbstract,createDataSimple,MPROP0031X,,NO_EFFECT,
div,override,NodeMResourceDataAbstract,createDataGroup,MPROP0032X,,NO_EFFECT,
section,name,ElementMResourceDataAbstract,createDataSimple,MPROP0033X,,NO_EFFECT,
section,locked,ElementMResourceDataAbstract,createDataSimple,MPROP0034X,,NO_EFFECT,
section,hidden,ElementMResourceDataAbstract,createDataSimple,MPROP0035X,,NO_EFFECT,
section,conditions,ElementMResourceDataAbstract,createDataArray,MPROP0036X,,COMMIT_500,PHP fatal during commit
section,attributes,ElementMResourceDataAbstract,createDataSimple,MPROP0037X,,NO_EFFECT,
section,cssClasses,ElementMResourceDataAbstract,createDataSimple,MPROP0038X,,NO_EFFECT,
section,attrID,ElementMResourceDataAbstract,createDataSimple,MPROP0039X,,HTML,
section,style,ElementMResourceDataAbstract,createDataGroup,MPROP0040X,,NO_EFFECT,
section,interactions,ElementMResourceDataAbstract,createDataArray,MPROP0041X,,COMMIT_500,PHP fatal during commit
section,currentStatus,NodeMResourceDataAbstract,createDataSimple,MPROP0042X,,NO_EFFECT,
section,override,NodeMResourceDataAbstract,createDataGroup,MPROP0043X,,NO_EFFECT,
image,name,ElementMResourceDataAbstract,createDataSimple,MPROP0044X,,NO_EFFECT,
image,locked,ElementMResourceDataAbstract,createDataSimple,MPROP0045X,,NO_EFFECT,
image,hidden,ElementMResourceDataAbstract,createDataSimple,MPROP0046X,,NO_EFFECT,
image,conditions,ElementMResourceDataAbstract,createDataArray,MPROP0047X,,COMMIT_500,PHP fatal during commit
image,attributes,ElementMResourceDataAbstract,createDataSimple,MPROP0048X,,NO_EFFECT,
image,cssClasses,ElementMResourceDataAbstract,createDataSimple,MPROP0049X,,NO_EFFECT,
image,attrID,ElementMResourceDataAbstract,createDataSimple,MPROP0050X,,NO_EFFECT,
image,style,ElementMResourceDataAbstract,createDataGroup,MPROP0051X,,NO_EFFECT,
image,interactions,ElementMResourceDataAbstract,createDataArray,MPROP0052X,,COMMIT_500,PHP fatal during commit
image,currentStatus,NodeMResourceDataAbstract,createDataSimple,MPROP0053X,,NO_EFFECT,
image,override,NodeMResourceDataAbstract,createDataGroup,MPROP0054X,,NO_EFFECT,
icon,name,ElementMResourceDataAbstract,createDataSimple,MPROP0055X,,NO_EFFECT,
icon,locked,ElementMResourceDataAbstract,createDataSimple,MPROP0056X,,NO_EFFECT,
icon,hidden,ElementMResourceDataAbstract,createDataSimple,MPROP0057X,,NO_EFFECT,
icon,conditions,ElementMResourceDataAbstract,createDataArray,MPROP0058X,,COMMIT_500,PHP fatal during commit
icon,attributes,ElementMResourceDataAbstract,createDataSimple,MPROP0059X,,NO_EFFECT,
icon,cssClasses,ElementMResourceDataAbstract,createDataSimple,MPROP0060X,,NO_EFFECT,
icon,attrID,ElementMResourceDataAbstract,createDataSimple,MPROP0061X,,HTML,
icon,style,ElementMResourceDataAbstract,createDataGroup,MPROP0062X,,NO_EFFECT,
icon,interactions,ElementMResourceDataAbstract,createDataArray,MPROP0063X,,COMMIT_500,PHP fatal during commit
icon,currentStatus,NodeMResourceDataAbstract,createDataSimple,MPROP0064X,,NO_EFFECT,
icon,override,NodeMResourceDataAbstract,createDataGroup,MPROP0065X,,NO_EFFECT,
button,url,ButtonElementMResourceData,createDataSimple,https://example.com/MPROP0066X,,HTML,
button,target,ButtonElementMResourceData,createDataSimple,_self,yes,NO_EFFECT,
button,rel,ButtonElementMResourceData,createDataSimple,MPROP0068X,,NO_EFFECT,
choice-field,nameAttribute,ChoiceFieldElementMResourceData,createDataSimple,MPROP0069X,,NO_EFFECT,
choice-field,defaultValue,ChoiceFieldElementMResourceData,createDataSimple,MPROP0070X,,NO_EFFECT,
choice-field,required,ChoiceFieldElementMResourceData,createDataSimple,7,,HTML,
choice-field,requiredMin,ChoiceFieldElementMResourceData,createDataSimple,7,,HTML,
choice-field,logging,ChoiceFieldElementMResourceData,createDataSimple,store,yes,INCONCLUSIVE,
code,insertLocation,CodeElementMResourceData,createDataSimple,inPlace,yes,NO_EFFECT,
code,content,CodeElementMResourceData,createDataSimple,MPROP0075X,,HTML,
code,processShortcodes,CodeElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
div,tagName,DivElementMResourceData,createDataSimple,MPROP0077X,,NO_EFFECT,
div,dynamicSources,DivElementMResourceData,createDataArray,MPROP0078X,,COMMIT_500,PHP fatal during commit
dropdown,horizontalAlign,DropdownElementMResourceData,createDataSimple,left,yes,ENUM_APPLIED,
dropdown-toggle,url,DropdownToggleElementMResourceData,createDataSimple,https://example.com/MPROP0080X,,HTML,
dropdown-toggle,target,DropdownToggleElementMResourceData,createDataSimple,_self,yes,NO_EFFECT,
dropdown-toggle,rel,DropdownToggleElementMResourceData,createDataSimple,MPROP0082X,,NO_EFFECT,
fileupload-input,nameAttribute,FileUploadElementMResourceData,createDataSimple,MPROP0083X,,HTML,
fileupload-input,accept,FileUploadElementMResourceData,createDataSimple,MPROP0084X,,NO_EFFECT,
fileupload-input,multiple,FileUploadElementMResourceData,createDataSimple,7,,HTML,
fileupload-input,required,FileUploadElementMResourceData,createDataSimple,7,,NO_EFFECT,
fileupload-input,logging,FileUploadElementMResourceData,createDataSimple,store,yes,INCONCLUSIVE,
fileupload-input,mediaLibrary,FileUploadElementMResourceData,createDataSimple,7,,HTML,
form,submitType,FormElementMResourceData,createDataSimple,MPROP0089X,,NO_EFFECT,
form-multi-steps-step,stepIndex,StepElementMResourceData,createDataSimple,7,,NO_EFFECT,
form-multi-steps-step,stepActive,StepElementMResourceData,createDataSimple,MPROP0091X,,NO_EFFECT,
icon,svg,IconElementMResourceData,createDataSimple,MPROP0092X,,NO_EFFECT,
icon,colors,IconElementMResourceData,createDataGroup,MPROP0093X,,NO_EFFECT,
icon,autoScale,IconElementMResourceData,createDataSimple,7,,HTML,
list-item,mode,ListItemElementMResourceData,createDataSimple,item,yes,INCONCLUSIVE,
loop-item,mode,LoopItemElementMResourceData,createDataSimple,item,yes,INCONCLUSIVE,
menu-link,url,MenuLinkElementMResourceData,createDataSimple,https://example.com/MPROP0097X,,HTML,
menu-link,target,MenuLinkElementMResourceData,createDataSimple,_self,yes,NO_EFFECT,
menu-link,rel,MenuLinkElementMResourceData,createDataSimple,MPROP0099X,,NO_EFFECT,
navbar,buttonBreakpoint,NavbarElementMResourceData,createDataSimple,none,yes,ENUM_APPLIED,
navbar,animation,NavbarElementMResourceData,createDataSimple,none,yes,ENUM_APPLIED,
navbar,disableScroll,NavbarElementMResourceData,createDataSimple,0,yes,INCONCLUSIVE,
section,tagName,SectionElementMResourceData,createDataSimple,MPROP0103X,,NO_EFFECT,
select-input,nameAttribute,SelectElementMResourceData,createDataSimple,MPROP0104X,,HTML,
select-input,defaultValue,SelectElementMResourceData,createDataSimple,MPROP0105X,,NO_EFFECT,
select-input,multiple,SelectElementMResourceData,createDataSimple,7,,NO_EFFECT,
select-input,required,SelectElementMResourceData,createDataSimple,7,,HTML,
select-input,size,SelectElementMResourceData,createDataSimple,7,,NO_EFFECT,
select-input,logging,SelectElementMResourceData,createDataSimple,store,yes,INCONCLUSIVE,
select-option,value,OptionElementMResourceData,createDataSimple,MPROP0110X,,HTML,
select-option,text,OptionElementMResourceData,createDataSimple,MPROP0111X,,HTML,
select-option,selected,OptionElementMResourceData,createDataSimple,7,,HTML,
select-option,disabled,OptionElementMResourceData,createDataSimple,7,,NO_EFFECT,
styleguide-entry-content-image-img,image,SGEntryContentImageImgElementMResourceData,createDataSimple,https://example.com/MPROP0114X,,HTML,
tabs,defaultTabIndex,TabsElementMResourceData,createDataSimple,7,,NO_EFFECT,
