url,attrID,breakpoint,property,declared,compiled,status
https://mosaic.moksaweb.com/moksa/,mk-mast,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-lines,_m,margin-top,30px,30px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-body,_t,grid-template-columns,1.2fr .8fr,1.2fr .8fr,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-body,_t,column-gap,36px,36px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-body,_m,grid-template-columns,"repeat(1, 1fr)","repeat(1, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-mast-body,_m,column-gap,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-body,_m,row-gap,26px,26px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-body,_m,margin-top,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-lede,_m,font-size,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-lede,_m,line-height,1.95,1.95,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-lede,_m,margin-top,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-cta,_m,margin-top,26px,26px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-cta,_m,column-gap,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-mast-side,_m,border-top,"1px solid rgba(22,24,28,.16)","1px solid rgba(22, 24, 28, .16)",verified
https://mosaic.moksaweb.com/moksa/,mk-spec-rule,_m,margin-top,40px,40px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec,_t,grid-template-columns,"repeat(2, 1fr)","repeat(2, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-spec,_m,grid-template-columns,"repeat(2, 1fr)","repeat(2, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-spec-0,_t,padding-top,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-0,_t,padding-bottom,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-0,_t,padding-left,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-0,_t,border-left,0,0,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-0,_t,border-top,0,0,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-0,_m,padding-right,12px,12px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-0,_m,padding-left,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-1,_t,padding-top,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-1,_t,padding-bottom,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-1,_t,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-1,_t,border-left,"1px solid rgba(22,24,28,.16)","1px solid rgba(22, 24, 28, .16)",verified
https://mosaic.moksaweb.com/moksa/,mk-spec-1,_t,border-top,0,0,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-1,_m,padding-right,12px,12px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-1,_m,padding-left,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-2,_t,padding-top,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-2,_t,padding-bottom,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-2,_t,padding-left,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-2,_t,border-left,0,0,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-2,_t,border-top,"1px solid rgba(22,24,28,.16)","1px solid rgba(22, 24, 28, .16)",verified
https://mosaic.moksaweb.com/moksa/,mk-spec-2,_m,padding-right,12px,12px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-2,_m,padding-left,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-3,_t,padding-top,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-3,_t,padding-bottom,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-3,_t,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-3,_t,border-left,"1px solid rgba(22,24,28,.16)","1px solid rgba(22, 24, 28, .16)",verified
https://mosaic.moksaweb.com/moksa/,mk-spec-3,_t,border-top,"1px solid rgba(22,24,28,.16)","1px solid rgba(22, 24, 28, .16)",verified
https://mosaic.moksaweb.com/moksa/,mk-spec-3,_m,padding-right,12px,12px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec-3,_m,padding-left,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,plate,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,plate,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,plate,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,plate,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-plate-pad,_t,column-gap,36px,36px,verified
https://mosaic.moksaweb.com/moksa/,mk-plate-pad,_m,grid-template-columns,"repeat(1, 1fr)","repeat(1, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-plate-pad,_m,row-gap,22px,22px,verified
https://mosaic.moksaweb.com/moksa/,mk-plate-pad,_m,padding-top,62px,62px,verified
https://mosaic.moksaweb.com/moksa/,mk-plate-pad,_m,padding-bottom,62px,62px,verified
https://mosaic.moksaweb.com/moksa/,services,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,services,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,services,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,services,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-pad,_m,padding-top,56px,56px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-head,_m,grid-template-columns,48px 1fr,48px 1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-list,_m,margin-top,32px,32px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-0,_t,grid-template-columns,72px 1fr 1.2fr,72px 1fr 1.2fr,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-0,_t,column-gap,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-0,_m,grid-template-columns,"repeat(1, 1fr)","repeat(1, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-svc-0,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-0,_m,padding-top,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-0,_m,padding-bottom,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-1,_t,grid-template-columns,72px 1fr 1.2fr,72px 1fr 1.2fr,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-1,_t,column-gap,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-1,_m,grid-template-columns,"repeat(1, 1fr)","repeat(1, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-svc-1,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-1,_m,padding-top,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-1,_m,padding-bottom,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-2,_t,grid-template-columns,72px 1fr 1.2fr,72px 1fr 1.2fr,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-2,_t,column-gap,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-2,_m,grid-template-columns,"repeat(1, 1fr)","repeat(1, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-svc-2,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-2,_m,padding-top,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-2,_m,padding-bottom,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-3,_t,grid-template-columns,72px 1fr 1.2fr,72px 1fr 1.2fr,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-3,_t,column-gap,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-3,_m,grid-template-columns,"repeat(1, 1fr)","repeat(1, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-svc-3,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-3,_m,padding-top,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-svc-3,_m,padding-bottom,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,matrix,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,matrix,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,matrix,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,matrix,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-pad,_m,padding-top,52px,52px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-pad,_m,padding-bottom,52px,52px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-cols,_m,grid-template-columns,"1fr repeat(3, 46px)","1fr repeat(3, 46px)",verified
https://mosaic.moksaweb.com/moksa/,mk-mx-cols,_m,column-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-0,_m,grid-template-columns,"1fr repeat(3, 46px)","1fr repeat(3, 46px)",verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-0,_m,column-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-0,_m,padding-top,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-0,_m,padding-bottom,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-1,_m,grid-template-columns,"1fr repeat(3, 46px)","1fr repeat(3, 46px)",verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-1,_m,column-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-1,_m,padding-top,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-1,_m,padding-bottom,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-2,_m,grid-template-columns,"1fr repeat(3, 46px)","1fr repeat(3, 46px)",verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-2,_m,column-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-2,_m,padding-top,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-2,_m,padding-bottom,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-3,_m,grid-template-columns,"1fr repeat(3, 46px)","1fr repeat(3, 46px)",verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-3,_m,column-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-3,_m,padding-top,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-3,_m,padding-bottom,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-4,_m,grid-template-columns,"1fr repeat(3, 46px)","1fr repeat(3, 46px)",verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-4,_m,column-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-4,_m,padding-top,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-4,_m,padding-bottom,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-5,_m,grid-template-columns,"1fr repeat(3, 46px)","1fr repeat(3, 46px)",verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-5,_m,column-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-5,_m,padding-top,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-5,_m,padding-bottom,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-6,_m,grid-template-columns,"1fr repeat(3, 46px)","1fr repeat(3, 46px)",verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-6,_m,column-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-6,_m,padding-top,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-6,_m,padding-bottom,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-7,_m,grid-template-columns,"1fr repeat(3, 46px)","1fr repeat(3, 46px)",verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-7,_m,column-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-7,_m,padding-top,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,mk-mx-r-7,_m,padding-bottom,11px,11px,verified
https://mosaic.moksaweb.com/moksa/,process,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,process,_t,padding-right,28px,28px,verified
