property,group,factory,value_class,accepted_values,tokenable
display,,CSSPropertyFactory,,,
alignItems,,CSSPropertyFactory,,normal|start|center|end|stretch|flex-start|flex-end|self-start|self-end|baseline|first baseline|last baseline,
justifyItems,,CSSPropertyFactory,,normal|start|center|end|stretch|flex-start|flex-end|self-start|self-end|baseline|first baseline|last baseline,
alignContent,,CSSPropertyFactory,,normal|start|center|end|stretch|space-between|space-around|space-evenly|flex-start|flex-end|baseline,
justifyContent,,CSSPropertyFactory,,normal|start|center|end|stretch|space-between|space-around|space-evenly|flex-start|flex-end|left|right,
flexDirection,,CSSPropertyFactory,,row|row-reverse|column|column-reverse,
flexWrap,,CSSPropertyFactory,,nowrap|wrap|wrap-reverse,
columnGap,,CSSCollectionVariablePropertyFactory,,,yes
rowGap,,CSSCollectionVariablePropertyFactory,,,yes
gridAutoFlow,,CSSPropertyFactory,,row|row dense|column|column dense,
gridAutoColumns,,CSSCollectionVariablePropertyFactory,,,yes
gridAutoRows,,CSSCollectionVariablePropertyFactory,,,yes
gridTemplateColumns,,CSSGridTemplateStylePropertyFactory,,,
gridTemplateRows,,CSSGridTemplateStylePropertyFactory,,,
gridTemplateAreas,,CSSGridAreaPropertyFactory,,,
gridRowStart,gridChildPosition,CSSGrouppedPropertyFactory,,,
gridColumnStart,gridChildPosition,CSSGrouppedPropertyFactory,,,
gridRowEnd,gridChildPosition,CSSGrouppedPropertyFactory,,,
gridColumnEnd,gridChildPosition,CSSGrouppedPropertyFactory,,,
flexSizing,,CSSFlexSizingPropertyFactory,,,
flexBasis,,CSSPropertyFactory,,,
alignSelf,,CSSPropertyFactory,,auto|start|center|end|stretch|normal|flex-start|flex-end|self-start|self-end|baseline|first baseline|last baseline,
justifySelf,,CSSPropertyFactory,,auto|start|center|end|stretch|normal|flex-start|flex-end|self-start|self-end|baseline|first baseline|last baseline,
order,,CSSPropertyFactory,,,
listStylePosition,,CSSPropertyFactory,,inside|outside,
listStyleType,,CSSListStyleTypeStylePropertyFactory,,disc|circle|square|decimal|georgian|trad-chinese-informal|kannada|none,
fontFamily,,CSSFontFamilyPropertyFactory,,,
textDecorationLine,,CSSPropertyFactory,,none|underline|overline|line-through,
fontStyle,,CSSPropertyFactory,,normal|italic,
color,,CSSColorPropertyFactory,,,yes
fontSize,,CSSCollectionVariablePropertyFactory,,,yes
lineHeight,,CSSCollectionVariablePropertyFactory,,,yes
fontWeight,,CSSPropertyFactory,,100|200|300|400|500|600|700|800|900,
textAlign,,CSSPropertyFactory,,start|center|end|justify|left|right,
letterSpacing,,CSSCollectionVariablePropertyFactory,,,yes
wordSpacing,,CSSCollectionVariablePropertyFactory,,,yes
whiteSpace,,CSSPropertyFactory,,normal|pre-wrap|nowrap|pre,
textTransform,,CSSPropertyFactory,,none|lowercase|uppercase|capitalize,
textShadow,,CSSTextShadowStylePropertyFactory,,,
width,,CSSCollectionVariablePropertyFactory,,,yes
minWidth,,CSSCollectionVariablePropertyFactory,,,yes
maxWidth,,CSSCollectionVariablePropertyFactory,,,yes
height,,CSSCollectionVariablePropertyFactory,,,yes
minHeight,,CSSCollectionVariablePropertyFactory,,,yes
maxHeight,,CSSCollectionVariablePropertyFactory,,,yes
position,,CSSPropertyFactory,,static|relative|absolute|fixed|sticky,
zIndex,,CSSPropertyFactory,,,
top,,CSSCollectionVariablePropertyFactory,,,yes
right,,CSSCollectionVariablePropertyFactory,,,yes
bottom,,CSSCollectionVariablePropertyFactory,,,yes
left,,CSSCollectionVariablePropertyFactory,,,yes
marginTop,,CSSCollectionVariablePropertyFactory,,,yes
marginRight,,CSSCollectionVariablePropertyFactory,,,yes
marginBottom,,CSSCollectionVariablePropertyFactory,,,yes
marginLeft,,CSSCollectionVariablePropertyFactory,,,yes
paddingTop,,CSSCollectionVariablePropertyFactory,,,yes
paddingRight,,CSSCollectionVariablePropertyFactory,,,yes
paddingBottom,,CSSCollectionVariablePropertyFactory,,,yes
paddingLeft,,CSSCollectionVariablePropertyFactory,,,yes
borderRadius,,CSSBorderRadiusPropertyFactory,,,
borderTopWidth,borderStyle,CSSGrouppedPropertyFactory,CSSCollectionVariableProperty,,yes
borderTopStyle,borderStyle,CSSGrouppedPropertyFactory,,,
borderTopColor,borderStyle,CSSGrouppedPropertyFactory,CSSColorProperty,,
borderRightWidth,borderStyle,CSSGrouppedPropertyFactory,CSSCollectionVariableProperty,,yes
borderRightStyle,borderStyle,CSSGrouppedPropertyFactory,,,
borderRightColor,borderStyle,CSSGrouppedPropertyFactory,CSSColorProperty,,
borderBottomWidth,borderStyle,CSSGrouppedPropertyFactory,CSSCollectionVariableProperty,,yes
borderBottomStyle,borderStyle,CSSGrouppedPropertyFactory,,,
borderBottomColor,borderStyle,CSSGrouppedPropertyFactory,CSSColorProperty,,
borderLeftWidth,borderStyle,CSSGrouppedPropertyFactory,CSSCollectionVariableProperty,,yes
borderLeftStyle,borderStyle,CSSGrouppedPropertyFactory,,,
borderLeftColor,borderStyle,CSSGrouppedPropertyFactory,CSSColorProperty,,
outlineWidth,outlineStyle,CSSGrouppedPropertyFactory,CSSCollectionVariableProperty,,yes
