state,scope,host,selector_template,status,evidence
focus,global,div,&:FOCUS,COMPILED,.M_EL7:FOCUS
focus-visible,global,div,&:FOCUS-VISIBLE,COMPILED,.M_EL8:FOCUS-VISIBLE
hover,global,div,&:HOVER,COMPILED,.M_EL9:HOVER
hover-on-link,global,div,":where(a[href]:not([disabled]),button:not([disabled])):HOVER &",COMPILED,":where(a[href]:not([disabled]),button:not([disabled])):HOVER .M_EL10"
hover-on-tab,global,div,:where(.M_EL_Tab:not(.M_EL_Tab--active)):HOVER &,COMPILED,:where(.M_EL_Tab:not(.M_EL_Tab--active)):HOVER .M_EL11
hover-tab,global,div,&:where(.M_EL_Tab:not(.M_EL_Tab--active)):HOVER,COMPILED,.M_EL12:where(.M_EL_Tab:not(.M_EL_Tab--active)):HOVER
hover-when-link,global,div,"&:where([tabindex]:not([tabindex=""-1""]),a[href]:not([disabled]),button:not([disabled])):HOVER",COMPILED,".M_EL13:where([tabindex]:not([tabindex=""-1""]),a[href]:not([disabled]),button:not([disabled"
____loop_pagination_number--active,node-type,loop-pagination-number,&.M_EL_LoopPaginationNumber--active,NO_HOST,host loop-pagination-number is COMMIT_500 - committing it breaks the page
____loop_pagination_number_ellipsis,node-type,loop-pagination-number,&.M_EL_LoopPaginationNumber_ellipsis,NO_HOST,host loop-pagination-number is COMMIT_500 - committing it breaks the page
___arrow_hidden,node-type,,&:where(.M_EL_SliderArrow--hidden),SKIPPED,no node type declares Mosaic/NodeTypes/Pro/Slider/SliderArrow/SliderArrowElementTypeFactoryAbstract.php
___checkbox-input--checked,node-type,checkbox-input,&:checked,NO_HOST,host checkbox-input is BROKE_PAGE - committing it breaks the page
___checkbox-input--checkmark,node-type,checkbox-input,&:checked::before,NO_HOST,host checkbox-input is BROKE_PAGE - committing it breaks the page
___choice--checked,node-type,choice,&:has(:where(input):checked),COMPILED,.M_EL7:has(:where(input):checked)
___choice--checked-within,node-type,choice,.M_EL_Choice:where(:has(input:checked)) &,COMPILED,.M_EL_Choice:where(:has(input:checked)) .M_EL8
___choice--focus-visible,node-type,choice,&:has(:where(input):focus-visible),COMPILED,.M_EL9:has(:where(input):focus-visible)
___choice-field--invalid,node-type,choice-field,&:has(:user-invalid),COMPILED,.M_EL7:has(:user-invalid)
___choice-field--invalid-within,node-type,choice-field,.M_EL_ChoiceField:where(:has(:user-invalid)) &,COMPILED,.M_EL_ChoiceField:where(:has(:user-invalid)) .M_EL10
___dropdown--opening,node-type,,.M_EL_Dropdown:where(.dropdown--opening) &,SKIPPED,no node type declares Mosaic/NodeTypes/Menu/Dropdown/DropdownElementTypeFactoryAbstract.php
___dropdown-toggle--current,node-type,dropdown-toggle,&.M_EL_DropdownToggle--current,COMPILED,.M_EL7.M_EL_DropdownToggle--current
___dropdown-toggle--current-within,node-type,dropdown-toggle,".M_EL_Dropdown:where(:has(.M_EL_MenuLink--current,.M_EL_DropdownToggle--current)) > &",COMPILED,".M_EL_Dropdown:where(:has(.M_EL_MenuLink--current,.M_EL_DropdownToggle--current)) > .M_EL8"
___field--focus-visible,node-type,field,"&:has(:where(input, textarea, select):focus-visible)",COMPILED,".M_EL7:has(:where(input, textarea, select):focus-visible)"
___field--invalid,node-type,field,&:has(:user-invalid),COMPILED,.M_EL8:has(:user-invalid)
___field--invalid-focus-visible,node-type,field,&:has(:user-invalid:focus-visible),COMPILED,.M_EL9:has(:user-invalid:focus-visible)
___field--invalid-within,node-type,field,.M_EL_Field:where(:has(:user-invalid)) &,COMPILED,.M_EL_Field:where(:has(:user-invalid)) .M_EL10
