check,result,detail
masters,PASS,"25 -> 25"
templates,PASS,"27 -> 27"
components,PASS,"4 -> 4"
component_categories,PASS,"0 -> 0"
component_documents,PASS,"4 -> 4"
collections,PASS,"1 -> 1"
collection_groups,PASS,"0 -> 0"
collection_modes,PASS,"1 -> 1"
collection_skins,PASS,"1 -> 1"
collection_variables,PASS,"16 -> 16"
breakpoints,PASS,"2 -> 2"
variants,PASS,"1 -> 1"
variant_sub_classes,PASS,"0 -> 0"
universal_classes,PASS,"0 -> 0"
universal_sub_classes,PASS,"0 -> 0"
styleguides,PASS,"0 -> 0"
template_assigns,PASS,"25 -> 25"
nodes,PASS,"8608 -> 8608; 0 orphans in the source (no parent, outside every tree): none"
"tree shape",PASS,"6 (parentType, type) buckets, every one the same size"
"ids kept (non-override)",PASS,"8568 of 8568 nodes outside overrides keep their id"
"overrides (re-keyed)",PASS,"40 -> 40 override nodes; 40 keep their id - the import issues new ones, and re-points originalID at the re-keyed component internals"
"live untouched",PASS,"live theme is c80251f8 (the source)"
